,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
70,2,7,sunday,0,morning,dhaka,dhaka,0.0,10,30,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
71,8,34,saturday,1,morning,dhaka,dhaka,19.1,8,32,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
72,4,17,monday,0,evening,dhaka,dhaka,3.1,10,38,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
73,5,18,thursday,0,afternoon,dhaka,dhaka,13.8,9,36,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
74,6,23,sunday,0,morning,dhaka,dhaka,13.3,9,38,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
75,12,49,friday,1,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
76,4,18,monday,0,morning,dhaka,dhaka,36.5,8,33,hot,421809,372551,794360,113,4.42,4760,58.5,827,8,0,4,34,6,murder
77,6,26,friday,1,evening,dhaka,dhaka,8.8,9,35,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,-34,99,17,60,242,64,murder
78,1,1,thursduay,0,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
79,5,19,firday,1,morning,dhaka,dhaka,,10,39,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
80,1,2,monday,0,night,dhaka,dhaka,,10,26,,4931802,3974237,8906039,125,8.42,30551,,4289,99,17,60,242,64,murder
81,5,18,wednesday,0,night,dhaka,dhaka,15.8,8,34,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
82,8,35,saturday,1,night,dhaka,dhaka,5.5,9,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
83,7,29,friday,1,night,dhaka,dhaka,7.1,9,38,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
84,5,19,saturday,1,night,dhaka,dhaka,,10,37,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
85,2,7,wednesday,0,morning,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
86,8,35,monday,0,morning,dhaka,dhaka,3.7,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
87,8,35,monday,0,morning,dhaka,dhaka,3.7,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
88,12,51,friday,1,evening,dhaka,dhaka,,10,23,,4931802,3974237,8906039,125,8.42,30551,,4289,99,17,60,242,64,murder
89,3,10,sunday,0,night,dhaka,dhaka,0.0,10,26,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
90,4,18,monday,0,morning,dhaka,dhaka,36.5,8,33,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
91,5,18,friday,1,afternoon,dhaka,dhaka,,10,37,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
92,8,33,tuesday,0,night,dhaka,dhaka,8.1,10,37,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
93,9,37,sundya,0,noon,dhaka,dhaka,,9,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
94,1,2,monday,0,morning,dhaka,dhaka,0.0,10,26,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
95,9,37,sdunday,0,noon,dhaka,dhaka,7.0,9,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
96,11,46,tuesday,0,,dhaka,dhaka,,10,30,,4931802,3974237,8906039,125,8.42,30551,,4289,99,17,60,242,64,murder
97,2,5,tuyesday,0,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
98,8,31,thursday,0,noon,dhaka,dhaka,2.1,10,35,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
99,2,8,sunday,0,morning,dhaka,dhaka,0.0,10,30,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
100,7,29,wednesday,0,morning,dhaka,dhaka,6.1,10,32,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
101,9,36,wednescay,0,night,dhaka,dhaka,1.2,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
102,9,37,wednesday,0,night,dhaka,dhaka,1.8,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
103,9,36,wednerday,0,night,dhaka,dhaka,1.2,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
104,8,33,monday,0,night,dhaka,dhaka,4.3,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
105,8,32,thursday,0,night,dhaka,dhaka,5.0,9,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
106,10,43,thursday,0,night,dhaka,dhaka,22.7,8,24,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
107,1,52,sunday,0,night,dhaka,dhaka,0.0,10,26,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
108,10,43,thursday,0,night,dhaka,dhaka,22.7,8,24,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
109,9,37,sunday,0,noon,dhaka,dhaka,7.0,9,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
110,9,37,sunday,0,noon,dhaka,dhaka,7.0,9,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
111,9,37,sunday,0,noon,dhaka,dhaka,7.0,9,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
112,6,25,thursday,0,night,dhaka,dhaka,6.3,10,40,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
113,3,10,thursday,0,noon,dhaka,dhaka,0.0,10,28,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
114,2,8,wednesday,0,afternoon,dhaka,dhaka,2.0,10,28,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
115,2,7,friday,1,night,dhaka,dhaka,0.0,10,27,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
116,5,19,tuesday,0,evening,dhaka,dhaka,2.3,10,38,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
117,7,30,thusrday,0,night,dhaka,dhaka,19.1,8,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
